"STOCK_CODE","STOCK_NAME","MARKET_TYPE","SECTOR","LISTED_DATE","STATUS"
"002710","TCC스틸보통주","KOSPI","1차 철강 제조업",84/12/21,"ACTIVE"
"098120","(주)마이크로컨텍솔루션","KOSDAQ","전자부품 제조업",08/09/23,"ACTIVE"
"009520","(주)포스코엠텍","KOSDAQ GLOBAL","1차 철강 제조업",97/11/10,"ACTIVE"
"006840","AK홀딩스보통주","KOSPI","기타 금융업",99/08/11,"ACTIVE"
"282330","BGF리테일보통주","KOSPI","종합 소매업",17/12/08,"ACTIVE"
"027410","BGF보통주","KOSPI","기타 금융업",14/05/19,"ACTIVE"
"138930","BNK금융지주보통주","KOSPI","기타 금융업",11/03/30,"ACTIVE"
"001465","BYC1우선주","KOSPI","섬유·의류",89/09/05,"ACTIVE"
"001460","BYC보통주","KOSPI","봉제의복 제조업",75/06/02,"ACTIVE"
"001045","CJ1우선주","KOSPI","기타금융",89/08/18,"ACTIVE"
"00104K","CJ4우선주(전환)","KOSPI","기타금융",19/08/09,"ACTIVE"
"001040","CJ보통주","KOSPI","기타 금융업",73/06/29,"ACTIVE"
"011155","CJ씨푸드1우선주","KOSPI","음식료·담배",90/01/13,"ACTIVE"
"011150","CJ씨푸드보통주","KOSPI","기타 식품 제조업",88/11/26,"ACTIVE"
"058820","CMG제약","KOSDAQ","의약품 제조업",01/08/31,"ACTIVE"
"000590","CS홀딩스보통주","KOSPI","기타 금융업",75/12/22,"ACTIVE"
"005830","DB손해보험보통주","KOSPI","보험업",73/06/28,"ACTIVE"
"016610","DB증권보통주","KOSPI","금융 지원 서비스업",88/06/27,"ACTIVE"
"000990","DB하이텍보통주","KOSPI","반도체 제조업",75/12/12,"ACTIVE"
"001530","DI동일보통주","KOSPI","상품 중개업",64/01/04,"ACTIVE"
"000215","DL1우선주","KOSPI","화학",89/08/21,"ACTIVE"
"000210","DL보통주","KOSPI","기초 화학물질 제조업",76/02/02,"ACTIVE"
"37550K","DL이앤씨1우선주","KOSPI","건설",21/01/25,"ACTIVE"
"37550L","DL이앤씨2우선주(전환)","KOSPI","건설",22/04/28,"ACTIVE"
"155660","DSR보통주","KOSPI","1차 비철금속 제조업",13/05/15,"ACTIVE"
"069730","DSR제강보통주","KOSPI","1차 철강 제조업",03/01/28,"ACTIVE"
"017940","E1보통주","KOSPI","기타 전문 도매업",97/08/27,"ACTIVE"
"365550","ESR켄달스퀘어리츠보통주","KOSPI","부동산 임대 및 공급업",20/12/23,"ACTIVE"
"050120","ES큐브","KOSDAQ","생활용품 도매업",02/04/25,"ACTIVE"
"383220","F&F보통주","KOSPI","봉제의복 제조업",21/05/21,"ACTIVE"
"032620","GC메디아이","KOSDAQ","소프트웨어 개발 및 공급업",97/05/02,"ACTIVE"
"078935","GS1우선주","KOSPI","기타금융",04/08/05,"ACTIVE"
"006360","GS건설보통주","KOSPI","건물 건설업",81/08/03,"ACTIVE"
"078930","GS보통주","KOSPI","기타 금융업",04/08/05,"ACTIVE"
"012630","HDC보통주","KOSPI","기타 금융업",96/10/16,"ACTIVE"
"014790","HL D&I보통주","KOSPI","토목 건설업",94/08/12,"ACTIVE"
"024850","HLB이노베이션","KOSDAQ","전자부품 제조업",01/01/18,"ACTIVE"
"204320","HL만도보통주","KOSPI","자동차 신품 부품 제조업",14/10/06,"ACTIVE"
"060980","HL홀딩스보통주","KOSPI","기타 금융업",10/05/19,"ACTIVE"
"035000","HS애드보통주","KOSPI","광고업",99/08/11,"ACTIVE"
"175330","JB금융지주보통주","KOSPI","기타 금융업",13/07/18,"ACTIVE"
